dataset,n,alpha,method,bits_per_key,bits_saved_vs_plain,build_seconds,query_ns
ecoli_sakai,5326526,0.9696087093163537,hkp,0.3489553979460534,0.9785394833330392,0.480445,126.033
ecoli_sakai,5326526,0.9696087093163537,bcsf,0.3489553979460534,0.9785394833330392,0.753917,275.75
ecoli_sakai,5326526,0.9696087093163537,vlburr,0.266473,0.799293,0.9291095420000001,116.103955
ecoli_sakai,5326526,0.9696087093163537,autocsf,0.34463888846125973,0.9828559928178329,0.687536,247.771
srr10211353,9762863,0.20372999190913568,hkp,3.652275362257977,0.0,3.50697,306.512
srr10211353,9762863,0.20372999190913568,bcsf,3.652275362257977,0.0,3.51532,342.188
srr10211353,9762863,0.20372999190913568,vlburr,3.22668,0.0,6.224645503,128.080305
srr10211353,9762863,0.20372999190913568,autocsf,3.652275362257977,0.0,3.96897,336.696
celegans,69680812,0.8245268726202559,hkp,1.4746174886710564,0.19920330434725703,13.4793,399.562
celegans,69680812,0.8245268726202559,bcsf,1.3939358800813055,0.2798849129370077,12.9183,2675.79
celegans,69680812,0.8245268726202559,vlburr,1.107882,0.276111,27.615889221,152.505243
celegans,69680812,0.8245268726202559,autocsf,1.3839425407384747,0.28987825227983854,12.6338,2688.58
rice,198010360,0.7271307117465975,hkp,2.05781099534388,-0.10592334663701435,55.7842,2471.51
rice,198010360,0.7271307117465975,bcsf,1.9313101799319996,0.020577468774866124,74.7507,12503.3
rice,198010360,0.7271307117465975,vlburr,1.918032,-0.2771569999999999,112.333091259,442.248071
rice,198010360,0.7271307117465975,autocsf,1.8811223412754767,0.07076530743138894,96.6808,9869.55
